id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
307,1,371000,Y,N,15,No Medal,22,Wed,2.9,10/11/2017,,
308,6,360000000,N,Y,55,Silver,22,Thu,7.5,10/12/2017,,
309,2,34000,Y,N,29,No Medal,22,Thu,4.1,10/12/2017,,
310,1,172000,Y,N,64,Silver,22,Thu,7.1,10/12/2017,,
311,1,24000,Y,N,61,Bronze,22,Fri,7.1,10/13/2017,,
312,8,70000000,Y,N,167,Silver,22,Fri,7.6,10/13/2017,,
313,1,4000,Y,N,76,Silver,22,Sat,8.2,10/14/2017,,
314,2,34000,Y,N,70,Bronze,22,Sun,2.9,10/15/2017,,
315,1,114000,Y,N,30,No Medal,22,Mon,5.6,10/16/2017,,
316,1,10000000,Y,N,64,Bronze,22,Tue,5.3,10/17/2017,,
317,5,66000000,Y,Y,1279,Gold,22,Fri,7.6,10/20/2017,,
318,1,999,Y,N,31,No Medal,22,Fri,2.9,10/20/2017,,
319,1,20000,Y,N,70,No Medal,22,Fri,8.2,10/20/2017,,
320,1,59000,Y,N,37,No Medal,22,Fri,7.4,10/20/2017,,
321,1,4000,Y,N,27,No Medal,22,Sun,5.9,10/22/2017,,
322,1,40000,Y,N,17,No Medal,22,Mon,4.1,10/23/2017,,
323,1,488000,Y,N,9,No Medal,22,Mon,2.9,10/23/2017,,
324,1,2000,Y,N,547,Gold,22,Tue,8.5,10/24/2017,,
325,1,15000,Y,N,90,Bronze,22,Tue,8.2,10/24/2017,,
326,5,88000000,N,Y,105,Bronze,22,Tue,7.5,10/24/2017,,
327,1,2000,Y,N,13,Bronze,22,Wed,8.2,10/25/2017,,
328,1,260000000,N,Y,86,Silver,22,Wed,7.5,10/25/2017,,
329,5074,17000000,Y,N,233,Silver,22,Thu,5.9,10/26/2017,,
330,1,7000,Y,N,256,Bronze,22,Thu,5.9,10/26/2017,,
331,1,8000000,Y,N,183,Silver,22,Thu,4.1,10/26/2017,,
332,6,59000000,Y,Y,326,Silver,22,Thu,7.6,10/26/2017,,
333,7,195000000,Y,N,203,Silver,22,Thu,7.6,10/26/2017,,
